first_seen,last_seen,sessions,ticker_raw,cik,insiders,total_value,reason
2026-09-01,2026-09-04,4,JOHN HANCOCK GA SENIOR LOAN TRUST (CIK 1742951),1742951,2,66981948.10,"no ticker resolved from filing symbol, SEC CIK map or issuer name — no price series exists, so the cluster cannot be priced or scored"
2026-08-12,2026-08-19,8,HPS REAL ASSETS LENDING CO LP (CIK 2089975),2089975,2,10500000.00,"no ticker resolved from filing symbol, SEC CIK map or issuer name — no price series exists, so the cluster cannot be priced or scored"
2026-09-03,2026-09-04,2,PRIVACORE VPC ASSET BACKED CREDIT FUND (CIK 2066579),2066579,2,7500000.00,"no ticker resolved from filing symbol, SEC CIK map or issuer name — no price series exists, so the cluster cannot be priced or scored"
2026-08-10,2026-08-12,3,VISTA CREDIT STRATEGIC LENDING CORP. (CIK 1919369),1919369,2,6229806.78,"no ticker resolved from filing symbol, SEC CIK map or issuer name — no price series exists, so the cluster cannot be priced or scored"
2026-08-12,2026-09-04,11,AXIA3,,2,975608.00,"ticker-shaped but 404 on the Yahoo chart endpoint on every attempt since 2026-08-12 - no price series exists, so the cluster cannot be priced or scored (INS-007). Voided in the ledger 2026-08-12."
2026-09-01,2026-09-04,4,"ANDALUSIAN CREDIT COMPANY, LLC (CIK 1979306)",1979306,3,328467.24,"no ticker resolved from filing symbol, SEC CIK map or issuer name — no price series exists, so the cluster cannot be priced or scored"
2026-08-17,2026-08-24,7,EDAP,,2,95000.00,"404 on the Yahoo chart endpoint on both attempts 2026-08-17. NOTE: unlike the other exclusions this is a plausible real listing (EDAP TMS ADR), so this may be a SYMBOL-MAPPING failure rather than an unlisted entity - flagged for a hand check. Excluded today because an unpriceable row can never score, not because the name is judged untradeable. | 2026-08-19 [insider]: still live in the feed and still 404 on the Yahoo chart endpoint (query1 and query2, both attempts). Re-verified by hand because write_exclusions() only auto-upserts clusters whose issuer never resolved to a ticker (the '(CIK n)' form); ticker-shaped-but-unquotable names like this one are NOT refreshed by the collector, so last_seen/sessions on this row are maintained manually. Feed counts moved 4 insiders/$142,500.00 -> 4 insiders/$142,500.00."
2026-08-12,2026-08-14,3,"FUNDRISE INCOME REAL ESTATE FUND, LLC (CIK 1885551)",1885551,2,1287.68,"no ticker resolved from filing symbol, SEC CIK map or issuer name — no price series exists, so the cluster cannot be priced or scored"
2026-08-12,2026-09-01,12,"FUNDRISE REAL ESTATE INTERVAL FUND, LLC (CIK 1777677)",1777677,2,1000.00,"no ticker resolved from filing symbol, SEC CIK map or issuer name — no price series exists, so the cluster cannot be priced or scored"
2026-08-13,2026-08-19,6,PNAQ,,2,0.00,"SPAC with no Yahoo quote (404 on every attempt); the feed also reports total_value 0, i.e. non-open-market. No price series, cannot be priced or scored (INS-007). Voided in the ledger 2026-08-13. | 2026-08-19 [insider]: still live in the feed and still 404 on the Yahoo chart endpoint (query1 and query2, both attempts). Re-verified by hand because write_exclusions() only auto-upserts clusters whose issuer never resolved to a ticker (the '(CIK n)' form); ticker-shaped-but-unquotable names like this one are NOT refreshed by the collector, so last_seen/sessions on this row are maintained manually. Feed counts moved 6 insiders/$0.00 -> 2 insiders/$0.00. other_value $22,500,000.00 (non-open-market)."
